"","train3.sample","Cluster.membership"
"1","542-train",3
"2","482-train",3
"3","643-train",3
"4","533-train",3
"5","471-train",3
"6","578-train",3
"7","588-train",3
"8","473-train",3
"9","544-train",3
"10","567-train",3
"11","660-train",3
"12","592-train",3
"13","631-train",3
"14","524-train",3
"15","487-train",3
"16","617-train",3
"17","576-train",3
"18","573-train",3
"19","656-train",3
"20","489-train",3
"21","476-train",3
"22","600-train",3
"23","481-train",3
"24","612-train",3
"25","621-train",3
"26","479-train",3
"27","597-train",3
"28","650-train",3
"29","510-train",3
"30","490-train",3
"31","609-train",3
"32","647-train",3
"33","480-train",3
"34","497-train",3
"35","646-train",3
"36","589-train",3
"37","495-train",3
"38","627-train",3
"39","633-train",3
"40","483-train",3
"41","536-train",3
"42","581-train",3
"43","572-train",3
"44","492-train",3
"45","606-train",3
"46","556-train",3
"47","530-train",3
"48","593-train",3
"49","590-train",3
"50","498-train",3
"51","608-train",3
"52","614-train",3
"53","585-train",3
