"","train2.sample","Cluster.membership"
"1","506-train",2
"2","486-train",2
"3","543-train",2
"4","555-train",2
"5","649-train",2
"6","502-train",2
"7","509-train",2
"8","501-train",2
"9","629-train",2
"10","605-train",2
"11","515-train",2
"12","451-train",2
"13","603-train",2
"14","591-train",2
"15","651-train",2
"16","478-train",2
"17","512-train",2
"18","561-train",2
"19","549-train",2
"20","507-train",2
"21","469-train",2
"22","548-train",2
"23","470-train",2
"24","601-train",2
"25","554-train",2
"26","468-train",2
"27","563-train",2
"28","3-train",2
"29","514-train",2
"30","529-train",2
"31","463-train",2
"32","503-train",2
"33","535-train",2
"34","596-train",2
"35","564-train",2
"36","624-train",2
"37","540-train",2
"38","595-train",2
"39","546-train",2
"40","657-train",2
"41","560-train",2
"42","457-train",2
"43","534-train",2
"44","610-train",2
"45","474-train",2
"46","454-train",2
"47","569-train",2
"48","645-train",2
"49","639-train",2
"50","513-train",2
"51","545-train",2
"52","575-train",2
"53","566-train",2
"54","465-train",2
"55","475-train",2
"56","580-train",2
"57","557-train",2
"58","582-train",2
"59","526-train",2
"60","504-train",2
"61","630-train",2
"62","551-train",2
"63","611-train",2
"64","607-train",2
"65","558-train",2
"66","653-train",2
"67","620-train",2
"68","634-train",2
"69","523-train",2
"70","550-train",2
"71","517-train",2
"72","505-train",2
"73","552-train",2
"74","484-train",2
"75","577-train",2
"76","511-train",2
"77","604-train",2
"78","537-train",2
"79","598-train",2
"80","508-train",2
"81","586-train",2
"82","460-train",2
"83","520-train",2
"84","602-train",2
