"","bus1.sample","Cluster.membership"
"1","2750-bus",1
"2","1360-bus",1
"3","2751-bus",1
"4","1079-bus",1
"5","28274-bus",1
"6","2836-bus",1
"7","1382-bus",1
"8","1279-bus",1
"9","1357-bus",1
"10","1503-bus",1
"11","23009-bus",1
"12","1325-bus",1
"13","1306-bus",1
"14","1076-bus",1
"15","23015-bus",1
"16","2274-bus",1
"17","1390-bus",1
"18","1232-bus",1
"19","1312-bus",1
"20","25234-bus",1
"21","2799-bus",1
"22","1394-bus",1
"23","24305-bus",1
"24","1221-bus",1
"25","23030-bus",1
"26","1462-bus",1
"27","1299-bus",1
"28","23285-bus",1
"29","23204-bus",1
"30","29306-bus",1
"31","901-bus",1
"32","1192-bus",1
"33","23893-bus",1
"34","1483-bus",1
"35","1435-bus",1
"36","1148-bus",1
"37","1262-bus",1
"38","2119-bus",1
"39","2077-bus",1
"40","1659-bus",1
"41","2649-bus",1
"42","1415-bus",1
"43","23277-bus",1
"44","28828-bus",1
"45","1229-bus",1
"46","22644-bus",1
"47","24481-bus",1
"48","848-bus",1
"49","1353-bus",1
"50","1326-bus",1
"51","29474-bus",1
"52","1293-bus",1
"53","866-bus",1
"54","2325-bus",1
