"","tram3.sample","Cluster.membership"
"1","1584-tram",3
"2","1969-tram",3
"3","1589-tram",3
"4","238-tram",3
"5","1921-tram",3
"6","1615-tram",3
"7","1660-tram",3
"8","1604-tram",3
"9","1585-tram",3
"10","2052-tram",3
"11","1650-tram",3
"12","1676-tram",3
"13","208-tram",3
"14","1621-tram",3
"15","1609-tram",3
"16","1958-tram",3
"17","1933-tram",3
"18","1936-tram",3
"19","1629-tram",3
"20","2157-tram",3
"21","1588-tram",3
"22","1610-tram",3
"23","1924-tram",3
"24","212-tram",3
"25","1670-tram",3
"26","13-tram",3
"27","2019-tram",3
"28","1945-tram",3
"29","171-tram",3
"30","1593-tram",3
"31","130-tram",3
"32","199-tram",3
"33","2155-tram",3
"34","1605-tram",3
"35","1665-tram",3
"36","1626-tram",3
"37","12-tram",3
"38","196-tram",3
"39","2130-tram",3
"40","1666-tram",3
"41","173-tram",3
"42","17-tram",3
"43","1927-tram",3
"44","1939-tram",3
"45","1598-tram",3
"46","2232-tram",3
"47","1975-tram",3
"48","2056-tram",3
"49","2014-tram",3
"50","1655-tram",3
"51","1946-tram",3
"52","1644-tram",3
"53","2029-tram",3
