"","tram1.sample","Cluster.membership"
"1","1858-tram",1
"2","39-tram",1
"3","172-tram",1
"4","214-tram",1
"5","2185-tram",1
"6","2134-tram",1
"7","227-tram",1
"8","1967-tram",1
"9","1980-tram",1
"10","1913-tram",1
"11","20-tram",1
"12","1653-tram",1
"13","251-tram",1
"14","117-tram",1
"15","1971-tram",1
"16","2213-tram",1
"17","1876-tram",1
"18","8-tram",1
"19","1919-tram",1
"20","131-tram",1
"21","1803-tram",1
"22","2201-tram",1
"23","277-tram",1
"24","2002-tram",1
"25","2060-tram",1
"26","1879-tram",1
"27","1583-tram",1
"28","1938-tram",1
"29","278-tram",1
"30","57-tram",1
"31","270-tram",1
"32","237-tram",1
"33","2101-tram",1
"34","2075-tram",1
"35","162-tram",1
"36","122-tram",1
"37","1763-tram",1
"38","59-tram",1
"39","23-tram",1
"40","1996-tram",1
"41","21-tram",1
"42","1837-tram",1
"43","194-tram",1
"44","241-tram",1
"45","263-tram",1
"46","2083-tram",1
"47","2198-tram",1
"48","67-tram",1
"49","2084-tram",1
"50","2073-tram",1
"51","132-tram",1
"52","50-tram",1
"53","81-tram",1
"54","2093-tram",1
