"","bus2.sample","Cluster.membership"
"1","25184-bus",2
"2","1555-bus",2
"3","22949-bus",2
"4","24397-bus",2
"5","23953-bus",2
"6","1398-bus",2
"7","24510-bus",2
"8","23960-bus",2
"9","24819-bus",2
"10","24180-bus",2
"11","26549-bus",2
"12","23363-bus",2
"13","22341-bus",2
"14","22263-bus",2
"15","23608-bus",2
"16","24669-bus",2
"17","22841-bus",2
"18","22416-bus",2
"19","2477-bus",2
"20","21942-bus",2
"21","1147-bus",2
"22","1446-bus",2
"23","24793-bus",2
"24","22478-bus",2
"25","23005-bus",2
"26","22709-bus",2
"27","26501-bus",2
"28","22094-bus",2
"29","22925-bus",2
"30","22230-bus",2
"31","22356-bus",2
"32","24728-bus",2
"33","23401-bus",2
"34","22135-bus",2
"35","24369-bus",2
"36","27752-bus",2
"37","2674-bus",2
"38","23845-bus",2
"39","24955-bus",2
"40","25647-bus",2
"41","23311-bus",2
"42","27910-bus",2
"43","23325-bus",2
"44","22835-bus",2
"45","23503-bus",2
"46","2631-bus",2
"47","1747-bus",2
"48","1682-bus",2
"49","26351-bus",2
"50","1993-bus",2
"51","22227-bus",2
"52","24196-bus",2
"53","28420-bus",2
"54","23948-bus",2
"55","23870-bus",2
"56","24842-bus",2
"57","28730-bus",2
"58","23775-bus",2
"59","28403-bus",2
"60","23888-bus",2
"61","22289-bus",2
"62","22899-bus",2
"63","22202-bus",2
"64","24714-bus",2
"65","24704-bus",2
"66","800-bus",2
"67","854-bus",2
"68","23378-bus",2
"69","24720-bus",2
"70","24837-bus",2
"71","27713-bus",2
"72","24502-bus",2
"73","27576-bus",2
"74","24487-bus",2
"75","24779-bus",2
"76","23049-bus",2
"77","24859-bus",2
"78","918-bus",2
"79","25216-bus",2
"80","1040-bus",2
"81","22393-bus",2
"82","26995-bus",2
"83","25349-bus",2
"84","22756-bus",2
