"","train7.sample","cluster.key"
"1","492-train",7
"2","649-train",7
"3","640-train",7
"4","650-train",7
"5","632-train",7
"6","503-train",7
"7","556-train",7
"8","577-train",7
"9","487-train",7
"10","562-train",7
"11","471-train",7
"12","484-train",7
"13","481-train",7
"14","520-train",7
"15","656-train",7
"16","636-train",7
"17","567-train",7
"18","489-train",7
"19","551-train",7
"20","609-train",7
"21","588-train",7
"22","478-train",7
"23","547-train",7
"24","515-train",7
"25","594-train",7
"26","647-train",7
"27","615-train",7
"28","655-train",7
"29","637-train",7
"30","550-train",7
"31","538-train",7
"32","541-train",7
"33","553-train",7
"34","532-train",7
"35","545-train",7
"36","470-train",7
"37","480-train",7
"38","493-train",7
"39","486-train",7
"40","654-train",7
"41","595-train",7
"42","477-train",7
"43","605-train",7
"44","490-train",7
"45","454-train",7
"46","483-train",7
"47","658-train",7
"48","652-train",7
"49","473-train",7
"50","660-train",7
"51","572-train",7
"52","544-train",7
"53","627-train",7
"54","597-train",7
"55","451-train",7
