"","tram7.sample","cluster.key"
"1","1655-tram",7
"2","2178-tram",7
"3","1660-tram",7
"4","1699-tram",7
"5","1774-tram",7
"6","1659-tram",7
"7","1957-tram",7
"8","1719-tram",7
"9","1666-tram",7
"10","1709-tram",7
"11","1656-tram",7
"12","1670-tram",7
"13","1671-tram",7
"14","1737-tram",7
"15","1780-tram",7
"16","1974-tram",7
"17","1675-tram",7
"18","1788-tram",7
"19","1987-tram",7
"20","1586-tram",7
"21","212-tram",7
"22","1689-tram",7
"23","2179-tram",7
"24","2029-tram",7
"25","1651-tram",7
"26","1768-tram",7
"27","1773-tram",7
"28","1814-tram",7
"29","1985-tram",7
"30","1738-tram",7
"31","2172-tram",7
"32","171-tram",7
"33","1976-tram",7
"34","2192-tram",7
"35","2170-tram",7
"36","1817-tram",7
"37","1984-tram",7
"38","2176-tram",7
"39","1749-tram",7
"40","2163-tram",7
"41","1764-tram",7
"42","1685-tram",7
"43","2193-tram",7
"44","1761-tram",7
"45","2165-tram",7
"46","1748-tram",7
"47","1826-tram",7
"48","1724-tram",7
"49","1645-tram",7
"50","1681-tram",7
"51","1704-tram",7
"52","2183-tram",7
"53","2012-tram",7
"54","1781-tram",7
"55","1800-tram",7
