"","tram2.sample","cluster.key"
"1","2124-tram",2
"2","1881-tram",2
"3","1727-tram",2
"4","1697-tram",2
"5","144-tram",2
"6","1786-tram",2
"7","145-tram",2
"8","2100-tram",2
"9","1978-tram",2
"10","30-tram",2
"11","243-tram",2
"12","2075-tram",2
"13","114-tram",2
"14","1700-tram",2
"15","1919-tram",2
"16","276-tram",2
"17","244-tram",2
"18","69-tram",2
"19","2160-tram",2
"20","1869-tram",2
"21","2051-tram",2
"22","1867-tram",2
"23","219-tram",2
"24","1883-tram",2
"25","1899-tram",2
"26","1887-tram",2
"27","2042-tram",2
"28","257-tram",2
"29","2102-tram",2
"30","32-tram",2
"31","2026-tram",2
"32","1947-tram",2
"33","1730-tram",2
"34","2151-tram",2
"35","1716-tram",2
"36","1832-tram",2
"37","1996-tram",2
"38","167-tram",2
"39","1779-tram",2
"40","195-tram",2
"41","150-tram",2
"42","50-tram",2
"43","148-tram",2
"44","1819-tram",2
"45","270-tram",2
"46","194-tram",2
"47","1876-tram",2
"48","48-tram",2
"49","112-tram",2
"50","1760-tram",2
"51","1938-tram",2
"52","35-tram",2
"53","157-tram",2
"54","40-tram",2
"55","1751-tram",2
"56","251-tram",2
"57","269-tram",2
"58","2072-tram",2
"59","2128-tram",2
