OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
114,148,Location 148,1,934303,0.034666856926330,1,0,0,0.000000000000000,,318285.972010381,5815004.96971001,160.000000000000000,148,5723,Location 5723,1,794917,0.524262961673940,2,0,0,0.000000000000000,,318310.009000001,5814908.0252
115,208,Location 208,1,198862,0.379683185958667,1,0,0,0.000000000000000,,317787.96093898,5815048.0236146,160.000000000000000,208,5731,Location 5731,1,26834,0.849089237669026,1,0,0,0.000000000000000,,317739.491000002,5814975.5072
116,54,Location 54,1,966250,0.752610182930377,1,0,0,0.000000000000000,,348617.02024394,5815488.99716036,160.000000000000000,54,9486,Location 9486,1,1057962,0.687160667911900,1,0,0,0.000000000000000,,348561.766700001,5815431.3155
117,54,Location 54,1,966250,0.752610182930377,1,0,0,0.000000000000000,,348617.02024394,5815488.99716036,160.000000000000000,54,9494,Location 9494,1,426586,0.593956856873946,2,0,0,0.000000000000000,,348762.5554,5815531.4628
118,190,Location 190,1,1065885,0.947960496001274,2,0,0,0.000000000000000,,309175.981094874,5815435.03652592,160.000000000000000,190,5867,Location 5867,1,419444,0.684609213705751,2,0,0,0.000000000000000,,309176.3795,5815581.0721
119,54,Location 54,1,966250,0.752610182930377,1,0,0,0.000000000000000,,348617.02024394,5815488.99716036,160.000000000000000,54,9503,Location 9503,1,962250,0.904555651023818,2,0,0,0.000000000000000,,348644.0215,5815630.021
120,150,Location 150,1,1010695,0.937048673955804,2,0,0,0.000000000000000,,323490.025173523,5815741.050958,160.000000000000000,150,5898,Location 5898,1,765159,0.903844173983738,2,0,0,0.000000000000000,,323457.666300001,5815745.0196
121,189,Location 189,1,832243,0.069876769801204,2,0,0,0.000000000000000,,323211.992677393,5816339.01232889,160.000000000000000,189,6027,Location 6027,1,402951,0.797865857752937,2,0,0,0.000000000000000,,323089.9987,5816333.0016
122,146,Location 146,1,290623,0.152629155717291,2,0,0,0.000000000000000,,319674.976494505,5816486.99181473,160.000000000000000,146,6064,Location 6064,1,248197,0.950783131502624,1,0,0,0.000000000000000,,319539.0091,5816546.0194
123,104,Location 104,1,1065380,0.414247673526245,2,0,0,0.000000000000000,,323806.984279684,5816639.96618757,160.000000000000000,104,6068,Location 6068,1,88794,0.511746956238044,2,0,0,0.000000000000000,,323878.0209,5816552.9501
