OBJECTID,OBJECTID_MODE,Mode_Centroid,FacilityID,FacilityID_Mode,X,Y,Name,Target break,Mode standard,Standard?,Cluster sample?,FromBreak,ToBreak,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,1_Total_Pat,2_Empden,3_Popden,4_Dwell,5_ActDen,6_PropComm,7_RetailEmp,8_Balance,9_LUEntropy,10_HousingDiv,11_PedConnect,12_PBN,13_DestScore,14_DestCount,15_Parkiteer,16_CBDDist,17_ACDist,18_ACCount,19 _FTZ,20_Parking,21_PropUrban,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_PropFTE,29_MeanSize,30_MedInc,31_PropOS,32_PropBach,0.1_Centroid_patronage,0.2_Bus_patronage,0.2_Bus_Censored,ln_Centroid,ln_bus,ln_emp,ln_pop,Co-located_outlier_tracking
1795,1795-tram,tram,47,47-tram,329283.9674,5806014.002,Location 47 : 0 - 600,600,600,yes,No,0,600,50,1204,4016.661844,851594.3042,69.20729675,1429.18,3584.87,1296.34,5014.05,0.03,545.11,0.26,0.18,8,75.15,0.31,4,37,0,10.98,1.18,0,0,0,0.95,28686.54,49.23,2.08,0,0,49.23,0.58,2.77,650,0.02,0.66,69.21,2.9,2.9,4.24,1.06,7.26,8.18,
1810,1810-tram,tram,51,51-tram,327776.4781,5806089.957,Location 51 : 0 - 600,600,600,yes,No,0,600,50,1228,3822.124705,681204.5186,471.1009698,1257.6,2763.41,1065.9,4021.02,0.1,257.1,0.17,0.73,8,91.02,0.21,7,40,0,9.79,0.05,1,0,9558.236,0.77,426979.3,49.23,70.92,24.62,404.46,478.31,0.52,2.59,300,0.02,0.67,471.1,1099.4,1099.4,6.16,7,7.14,7.92,
1791,1791-tram,tram,46,46-tram,323446.9969,5805972.951,Location 46 : 0 - 600,600,600,yes,No,0,600,50,1198,3995.313194,793223.4831,92.64497714,1077.3,6893.39,2964.2,7970.69,0.04,138.5,0.04,0.32,7,123.55,0.32,6,63,0,7.42,0.89,0,0,0,0.87,305002.36,21,16.23,21,0,42,0.63,2.33,800,0.05,0.57,92.64,5.3,5.3,4.53,1.67,6.98,8.84,
1799,1799-tram,tram,48,48-tram,323399.0285,5806046.966,Location 48 : 0 - 600,600,600,yes,tram,0,600,50,1210,3811.388084,826548.9672,92.64497714,1075.34,6948.29,2996.55,8023.63,0.04,137.93,0.04,0.31,8,120.98,0.32,6,54,0,7.34,0.81,0,0,0,0.88,305002.36,21,16.23,21,0,42,0.63,2.32,800,0.06,0.58,92.64,5.3,5.3,4.53,1.67,6.98,8.85,
1817,1817-tram,tram,53,53-tram,328339.4843,5806150.491,Location 53 : 0 - 600,600,600,yes,No,0,600,50,1240,4128.945301,853580.26,138.4145935,1367.9,4216.61,1600.18,5584.51,0.07,447.39,0.19,0.47,8,76.15,0,7,48,0,10.16,0.51,1,0,0,0.84,45542.25,49.46,1.92,0,0,49.46,0.51,2.64,300,0.02,0.7,138.41,1.6,1.6,4.93,0.47,7.22,8.35,
1849,1849-tram,tram,60,60-tram,323222.998,5806389.497,Location 60 : 0 - 600,600,600,yes,tram,0,600,50,1282,4154.136204,853542.9602,185.2899543,1568.18,6924.42,3033.52,8492.6,0.07,158.91,0.04,0.4,8,115.99,0.39,7,62,0,6.95,0.51,1,0,0,0.87,291670.3,42,8.08,21,0,63,0.64,2.28,800,0.05,0.57,185.29,0.4,0.4,5.22,-0.92,7.36,8.84,
1868,1868-tram,tram,64,64-tram,323167.0034,5806507.024,Location 64 : 0 - 600,600,600,yes,tram,0,600,50,1306,4441.161091,840225.1649,92.64497714,1832.33,6813.64,3004.87,8645.97,0.09,167.44,0.05,0.47,8,138.06,0.51,7,61,0,6.83,0.43,1,0,0,0.84,287154.16,21,16.23,83.46,0,104.46,0.64,2.27,800,0.05,0.57,92.64,12.7,12.7,4.53,2.54,7.51,8.83,
1881,1881-tram,tram,67,67-tram,323190.0072,5806583.012,Location 67 : 0 - 600,600,600,yes,No,0,600,50,1324,4056.82128,807284.0881,92.64497714,1830.22,6539.91,2889.96,8370.13,0.12,173.75,0.05,0.47,8,113.96,0.56,7,57,0,6.76,0.35,1,0,0,0.86,298453,41.46,24.31,21,0,62.46,0.65,2.26,800,0.05,0.57,92.64,13,13,4.53,2.56,7.51,8.79,
108,108-tram,tram,71,71-tram,323065.9771,5806688.526,Location 71 : 0 - 600,600,600,yes,tram,0,600,50,1348,3973.917585,858117.0073,185.2899543,2446.34,6629.81,2972.27,9076.15,0.13,182.56,0.05,0.55,8,156.16,0.47,7,58,0,6.62,0.39,1,0,0,0.8,297442.42,42,16.23,0,0,42,0.65,2.23,800,0.05,0.56,185.29,12.6,12.6,5.22,2.53,7.8,8.8,
1878,1878-tram,tram,66,66-tram,325657.4777,5806555.488,Location 66 : 0 - 600,600,600,yes,No,0,600,50,1318,4156.145207,867421.784,263.4484019,1111.57,3918.74,1400.06,5030.31,0.04,37.7,0.02,0.19,8,63.41,0.32,4,39,0,8.02,1.58,0,0,0,0.97,101620.7,95.15,25.69,0,0,95.15,0.57,2.8,650,0.1,0.65,263.45,16.6,16.6,5.57,2.81,7.01,8.27,
1895,1895-tram,tram,70,70-tram,324847.4836,5806667.461,Location 70 : 0 - 600,600,600,yes,tram,0,600,50,1342,3950.771985,874473.9196,263.4484019,1121.7,3632.28,1283.73,4753.97,0,47.74,0.03,0.09,8,61.75,0.32,4,43,0,7.46,1.45,0,0,0,0.96,82591.45,95.31,26.77,0,0,95.31,0.56,2.83,650,0.09,0.65,263.45,23.1,23.1,5.57,3.14,7.02,8.2,
115,115-tram,tram,76,76-tram,322335.5173,5806800.526,Location 76 : 0 - 600,600,600,yes,tram,0,600,50,1378,4061.81595,748748.0372,1361.345863,3674.02,6479.27,2982.37,10153.29,0.17,203.95,0.06,0.58,8,166.95,0.29,7,59,0,6.29,0.08,1,0,0,0.77,204015.96,30.69,80.46,0,0,30.69,0.67,2.17,800,0.05,0.51,1361.35,265.5,265.5,7.22,5.58,8.21,8.78,
