          X6_PropComm  X8_Balance X9_LUEntropy X10_HousingDiv X11_IntDensity X12_CycleConnect X13_DestScore   X16_CBDDist
4528-bus  -0.59647307 -0.41285065   2.10041156    -1.15159377   0.2286682376      -0.60105741    -1.2193214  7.249885e-02
4973-bus  -0.59647307 -0.59409093  -2.22365224    -1.76256962  -0.9387464506      -0.60105741    -1.2193214  2.175343e-01
5938-bus  -0.59647307 -0.77533121  -0.95969513    -1.15159377   0.3311714221      -0.60105741    -1.7662562  1.266020e+00
3510-bus  -0.35128174 -0.14099024  -0.69359890     0.07035793  -0.8362432661      -0.60105741    -1.2193214  3.084252e+00
5993-bus  -0.53517524 -0.77533121   0.37078604     0.07035793  -0.1819676202       1.37677292    -1.7662562  1.211632e+00
10464-bus -0.59647307 -0.68471107  -0.56055078    -2.37354547  -1.4328803432      -0.60105741    -1.2193214  9.789707e-01
12200-bus -0.59647307 -0.41285065  -2.15712818    -1.15159377   0.9514870464      -0.60105741    -1.2193214  1.927745e+00
3537-bus  -0.22868607 -0.14099024   0.03816575     0.07035793  -0.0367807388      -0.60105741    -1.2193214  3.065367e+00
4709-bus  -0.41257957 -0.77533121  -0.16140643    -1.15159377  -0.6405836920      -0.60105741     0.4214830 -8.537834e-02
3549-bus  -0.22868607 -0.14099024   0.83645445    -0.54061792   0.1972006946      -0.60105741    -1.2193214  3.040439e+00
10459-bus -0.59647307 -0.68471107  -0.89317107    -2.37354547  -1.4148098730      -0.60105741    -1.2193214  9.865247e-01
4810-bus  -0.59647307 -0.77533121  -1.42536354    -1.15159377  -1.0194404469      -0.60105741    -0.6723866 -1.427882e-01
6049-bus  -0.47387740 -0.77533121   0.23773792     0.07035793  -0.0698060809       1.37677292    -1.7662562  1.209366e+00
4087-bus  -0.22868607 -0.68471107  -0.62707484    -1.76256962  -0.6951066625      -0.60105741     0.4214830  2.057672e+00
4681-bus  -0.41257957 -0.77533121   0.96950256    -1.15159377  -0.3857277499      -0.60105741     0.4214830 -6.120576e-02
4738-bus  -0.53517524 -0.77533121  -1.22579136    -1.15159377  -0.8131878386      -0.60105741    -0.6723866 -1.050186e-01
9616-bus  -0.59647307 -0.77533121  -1.09274325    -0.54061792   0.0719536424      -0.60105741    -1.2193214 -1.896226e-01
10295-bus  0.93597275 -0.05037010   0.30426198     0.68133378  -0.9646059166      -0.60105741    -1.2193214  5.574613e-01
10292-bus -0.59647307 -0.32223051  -1.35883948     0.07035793  -0.6137895465      -0.60105741    -0.1254518  6.382884e-01
5597-bus  -0.53517524 -0.77533121  -0.62707484    -1.15159377   0.1127679803      -0.60105741    -0.6723866  2.379300e-01
10591-bus -0.53517524 -0.14099024  -0.95969513    -1.15159377  -0.1844600988       1.37677292    -0.1254518  4.260229e-01
10568-bus -0.59647307 -0.05037010  -0.42750266    -1.15159377  -0.1701283466       1.37677292    -0.1254518  4.192243e-01
10427-bus -0.16738824 -0.32223051   0.43731010     0.68133378  -0.3081493519      -0.60105741     0.9684178  5.378211e-01
10418-bus  0.07780309 -0.23161038   0.83645445     0.68133378   0.0090185564      -0.60105741     1.5153526  5.461304e-01
10438-bus -0.41257957 -0.32223051  -0.22793049     0.07035793  -0.4904118533      -0.60105741     0.4214830  5.264902e-01
10430-bus -0.59647307 -0.32223051  -1.15926731     0.07035793  -0.5352764690      -0.60105741    -0.6723866  5.060946e-01
10382-bus -0.10609041 -0.23161038   0.17121386     0.68133378  -0.5801410847      -0.60105741     1.5153526  5.144039e-01
10531-bus -0.53517524 -0.14099024   0.37078604    -1.15159377  -0.0215143070       1.50038731    -0.6723866  4.139366e-01
10385-bus -0.16738824 -0.23161038  -0.16140643     0.07035793  -0.6926141838      -0.60105741     0.9684178  5.023176e-01
10336-bus -0.59647307 -0.05037010  -1.02621919    -0.54061792   0.0501444542      -0.60105741     0.4214830  3.633252e-01
10373-bus -0.35128174 -0.23161038  -0.56055078     0.07035793  -0.7340516414      -0.60105741     0.4214830  4.909867e-01
10424-bus -0.59647307 -0.32223051  -1.02621919     0.07035793  -0.7524336715      -0.60105741    -1.2193214  4.864543e-01
10324-bus -0.53517524 -0.23161038  -1.42536354    -0.54061792  -0.5795179650      -0.60105741    -0.1254518  4.433969e-01
10411-bus  0.50688792 -0.23161038   0.70340633     0.68133378   0.2224370409       0.75870094     1.5153526  5.687922e-01
10426-bus  0.44559009 -0.23161038   0.63688227     0.68133378   0.1816227030       0.51147215     1.5153526  5.725692e-01
10448-bus  0.01650526 -0.32223051   0.76993039     0.68133378  -0.2635962960      -0.60105741     0.4214830  5.755907e-01
10378-bus -0.41257957 -0.23161038  -0.76012296     0.07035793  -0.7365441201      -0.60105741     0.4214830  4.826774e-01
10370-bus -0.53517524 -0.23161038  -1.29231542    -0.54061792  -0.7384134790      -0.60105741    -1.2193214  4.486847e-01
10354-bus -0.53517524 -0.23161038  -1.22579136    -0.54061792  -0.5592665760      -0.60105741    -0.1254518  4.433969e-01
10346-bus -0.53517524 -0.23161038  -0.82664701    -0.54061792  -0.3692150789      -0.60105741    -0.1254518  3.905194e-01
10352-bus -0.53517524 -0.23161038  -1.02621919    -0.54061792  -0.3841699508      -0.60105741    -0.1254518  4.139366e-01
10412-bus -0.53517524 -0.32223051   0.03816575    -0.54061792  -0.5991462344      -0.60105741    -0.6723866  4.350876e-01
10327-bus -0.59647307 -0.14099024  -1.02621919    -0.54061792   0.0784963988      -0.60105741    -0.1254518  3.746561e-01
10423-bus -0.53517524 -0.32223051  -0.36097860    -0.54061792  -0.8110069198      -0.60105741    -0.1254518  4.637925e-01
10465-bus -0.16738824 -0.32223051   0.76993039     0.07035793  -0.5857491617      -0.60105741    -0.6723866  5.786123e-01
10445-bus -0.59647307 -0.41285065  -0.16140643    -0.54061792  -0.5549047384       1.43858011    -0.1254518  4.585048e-01
10454-bus -0.59647307 -0.41285065  -0.16140643    -0.54061792  -0.5605128153       1.56219451    -0.1254518  4.532170e-01
10462-bus -0.59647307 -0.41285065   0.57035821    -1.15159377  -0.7072574959      -0.60105741    -0.6723866  4.403753e-01
10501-bus -0.53517524 -0.41285065   0.76993039    -1.15159377  -0.2866517235      -0.60105741    -0.6723866  4.350876e-01
10478-bus -0.59647307 -0.50347079   0.23773792    -1.15159377  -0.4517784342      -0.60105741    -0.6723866  4.494401e-01
10334-bus  0.50688792 -0.23161038   0.57035821     0.68133378  -0.3751347156      -0.60105741     1.5153526  5.612383e-01
10379-bus  0.44559009 -0.23161038   0.90297850     0.68133378   0.0644762064      -0.60105741     1.5153526  5.846555e-01
10363-bus  0.13910092 -0.23161038   0.30426198     0.68133378  -0.2981794373      -0.60105741     0.9684178  6.080726e-01
10409-bus  0.69078142 -0.14099024   1.16907474     0.68133378   0.2891108449      -0.60105741     1.5153526  5.899432e-01
10312-bus  0.44559009 -0.14099024   0.03816575     0.68133378  -0.7300013636      -0.60105741     0.4214830  5.597275e-01
10400-bus  0.26169659 -0.23161038   0.57035821     0.68133378  -0.0769719570      -0.60105741     1.5153526  6.050511e-01
10432-bus  0.69078142 -0.14099024   1.10255068     0.68133378   0.2339647547       1.37677292     0.9684178  5.839001e-01
10345-bus -0.41257957 -0.23161038  -0.62707484     0.68133378  -0.9561938012      -0.60105741    -0.6723866  6.224251e-01
10399-bus  0.13910092 -0.23161038   0.37078604     0.68133378  -0.2570535396      -0.60105741     0.9684178  6.148712e-01
10447-bus  0.13910092 -0.23161038   0.43731010     0.68133378  -0.2156160820       1.37677292     0.4214830  5.906986e-01
10402-bus -0.10609041 -0.14099024  -0.09488237     0.68133378  -0.4103409766      -0.60105741     0.4214830  6.239359e-01
10325-bus -0.59647307 -0.32223051  -1.15926731     0.68133378  -1.0770790158      -0.60105741    -0.6723866  6.284683e-01
10313-bus -0.59647307 -0.32223051  -1.42536354     0.68133378  -0.8094491206      -0.60105741    -0.1254518  6.352668e-01
10280-bus -0.47387740 -0.32223051  -0.69359890     0.07035793  -0.2346212317      -0.60105741    -0.1254518  6.390438e-01
6917-bus  -0.59647307  0.94645142  -2.62279659    -1.15159377  -2.2270463534      -0.60105741    -1.2193214  5.083607e-01
6102-bus  -0.47387740 -0.77533121   0.10468980     0.07035793  -0.1221481326       1.37677292    -1.2193214  1.141380e+00
7186-bus  -0.53517524 -0.68471107  -0.42750266     0.07035793  -0.1548619149      -0.60105741    -0.6723866 -2.296584e-01
10439-bus -0.47387740 -0.68471107  -1.02621919    -2.37354547  -1.5462881218      -0.60105741    -1.2193214  1.006165e+00
4754-bus  -0.59647307 -0.77533121  -1.55841166    -1.15159377  -0.8044641633      -0.60105741    -1.7662562 -1.337235e-01
3552-bus  -0.22868607 -0.14099024   0.76993039    -0.54061792   0.0650993261      -0.60105741    -1.2193214  3.045727e+00
8887-bus   2.28452507  0.04025004   1.10255068    -0.54061792   0.2096630879      -0.60105741    -0.1254518 -3.187948e-01
8976-bus   2.22322724 -0.05037010   0.90297850    -1.15159377  -0.4785725797      -0.60105741    -0.1254518 -3.135071e-01
8844-bus   2.46841857  0.13087018   1.03602662    -0.54061792   0.0831697963      -0.60105741    -0.1254518 -3.210610e-01
7256-bus  -0.59647307 -0.68471107   1.70126721    -1.15159377  -0.9113291855      -0.60105741    -0.6723866  4.758788e-01
3765-bus   0.87467492  1.03707156   2.23345967    -1.15159377  -1.2013913885      -0.60105741    -1.2193214  2.633282e+00
6235-bus  -0.47387740 -0.77533121   0.70340633     0.07035793   0.5308812740       1.37677292    -1.2193214  1.135337e+00
7104-bus  -0.59647307 -0.59409093   0.30426198    -1.15159377  -1.6556456226      -0.60105741    -0.6723866  5.619937e-01
10627-bus -0.59647307 -0.59409093  -0.22793049    -2.37354547  -1.4515739331      -0.60105741    -1.7662562  9.215608e-01
6325-bus  -0.47387740 -0.77533121   1.10255068     0.07035793   0.4327399271      -0.53925021    -1.2193214  1.133071e+00
12748-bus -0.53517524 -0.41285065  -0.22793049     0.68133378  -0.4748338617       1.37677292     0.4214830 -9.200879e-01
12659-bus -0.53517524 -0.41285065   0.03816575     0.68133378  -0.1006505042      -0.60105741    -0.1254518 -9.276418e-01
12631-bus -0.53517524 -0.41285065  -0.09488237     0.68133378   0.0289583857      -0.60105741    -0.1254518 -9.231094e-01
10473-bus -0.59647307 -0.68471107  -0.29445455    -2.37354547  -1.3842770095      -0.60105741    -1.2193214  9.668844e-01
6303-bus  -0.22868607 -0.77533121   1.16907474     0.07035793   0.9493061276      -0.60105741    -1.2193214  1.171596e+00
9342-bus  -0.59647307 -0.68471107  -0.69359890    -0.54061792  -0.6798402307      -0.60105741    -1.2193214 -1.820687e-01
4847-bus  -0.59647307 -0.77533121  -1.09274325    -1.15159377  -1.1303557469       1.00592973    -0.6723866 -1.624284e-01
10912-bus -0.47387740 -0.59409093  -0.16140643    -1.15159377  -1.2721154702      -0.60105741    -1.7662562  9.842585e-01
6301-bus  -0.35128174 -0.77533121   1.23559880     0.07035793   0.4707502266      -0.60105741    -1.2193214  1.143646e+00
9827-bus  -0.59647307 -0.77533121  -0.49402672    -0.54061792   0.1115217410      -0.60105741    -1.2193214 -1.918888e-01
6412-bus  -0.47387740 -0.77533121   0.70340633     0.07035793   0.4941172139      -0.60105741    -1.2193214  1.127028e+00
12655-bus -0.04479257  1.76203267   0.90297850     0.68133378  -0.5265527937       1.37677292     0.9684178 -1.022066e+00
10495-bus -0.59647307 -0.68471107  -0.09488237    -2.37354547  -1.3113720089      -0.60105741    -1.7662562  9.646183e-01
7915-bus  -0.16738824 -0.50347079   0.10468980    -1.15159377   0.2579548617      -0.60105741    -0.1254518 -2.802698e-01
5162-bus  -0.59647307 -0.41285065  -1.29231542    -1.15159377  -0.1009620640      -0.60105741    -1.7662562  1.325696e+00
7783-bus  -0.16738824 -0.50347079  -0.22793049    -1.15159377  -0.1314949275      -0.60105741    -0.1254518 -2.447663e-01
7768-bus  -0.35128174 -0.50347079  -1.22579136    -1.76256962  -0.3720191173      -0.60105741    -0.1254518 -2.160614e-01
7785-bus  -0.41257957 -0.50347079  -0.76012296    -1.15159377  -0.5349649091      -0.60105741    -0.6723866 -2.001981e-01
7804-bus  -0.28998390 -0.50347079  -0.49402672    -1.15159377  -0.0956655469      -0.60105741     0.4214830 -2.296584e-01
6498-bus  -0.59647307 -0.77533121  -0.16140643     0.07035793   0.1791302244      -0.60105741    -1.7662562  1.166308e+00
7877-bus  -0.16738824 -0.50347079  -0.02835831    -1.15159377   0.4517450768      -0.60105741     0.4214830 -2.802698e-01
3593-bus  -0.59647307 -0.50347079   1.10255068    -1.15159377  -0.6842020684       1.37677292    -1.2193214  2.791914e+00
8113-bus  -0.59647307 -0.50347079  -0.02835831    -0.54061792   0.0560640910      -0.60105741    -0.6723866 -2.938669e-01
8063-bus  -0.59647307 -0.50347079  -0.16140643    -0.54061792   0.0379936208      -0.60105741    -0.6723866 -2.885791e-01
7718-bus  -0.16738824 -0.59409093   0.17121386    -1.15159377   0.4813432608      -0.60105741     0.4214830 -2.712051e-01
10571-bus -0.59647307 -0.68471107  -0.56055078    -2.37354547  -1.2736732694      -0.60105741    -1.7662562  9.691506e-01
5935-bus  -0.59647307 -0.77533121  -1.29231542    -1.76256962   0.0769385997      -0.60105741    -1.7662562  1.280373e+00
6511-bus  -0.53517524 -0.77533121  -0.09488237     0.07035793   0.6140677490      -0.60105741    -1.7662562  1.138359e+00
4907-bus  -0.59647307 -0.50347079  -1.69145977    -1.76256962  -1.1892405550      -0.60105741    -1.2193214  2.318868e-01
8945-bus  -0.59647307 -0.77533121  -1.95755601    -0.54061792  -0.8895199973      -0.60105741    -1.7662562 -9.822002e-02
6795-bus  -0.35128174 -0.59409093   0.76993039    -0.54061792  -0.5966537558       1.37677292    -0.1254518 -1.745147e-01
8432-bus   0.81337708 -0.68471107   0.50383415     0.07035793  -0.5034973662      -0.60105741     0.4214830  5.725692e-01
4243-bus  -0.59647307  0.13087018  -1.75798383    -1.76256962  -2.0410451340      -0.60105741    -1.7662562  1.834076e+00
6003-bus  -0.53517524 -0.77533121  -0.16140643     0.07035793  -0.1872641373       1.37677292    -1.2193214  1.146668e+00
10913-bus -0.53517524 -0.59409093   0.57035821    -1.76256962  -1.5269714123      -0.60105741    -0.6723866  9.623521e-01
3989-bus  -0.59647307 -0.68471107  -0.76012296    -1.15159377  -0.3187423862       1.25315852    -0.1254518  2.174758e+00
3569-bus  -0.10609041 -0.14099024   1.30212285    -0.54061792  -0.2467720651      -0.60105741    -1.2193214  3.028353e+00
3983-bus  -0.59647307 -0.68471107  -0.89317107    -1.15159377  -0.4763916608       1.37677292    -0.1254518  2.179291e+00
6534-bus  -0.53517524 -0.77533121  -0.16140643     0.07035793   0.2806987294      -0.60105741    -1.7662562  1.122495e+00
6441-bus  -0.41257957 -0.77533121   0.23773792     0.07035793  -0.4714067035      -0.60105741    -1.7662562  1.191236e+00
12285-bus -0.16738824 -0.77533121   1.36864691    -1.76256962  -0.5125326013      -0.60105741    -0.6723866  2.700512e+00
9255-bus  -0.59647307 -0.68471107  -0.36097860    -0.54061792  -0.7131771327      -0.47744301    -1.2193214 -1.896226e-01
10901-bus -0.53517524 -0.59409093  -0.89317107    -1.15159377  -1.3391008339      -0.60105741    -1.7662562  1.003143e+00
10586-bus -0.59647307 -0.68471107  -0.89317107    -2.37354547  -1.1287979478      -0.60105741    -0.6723866  9.419565e-01
3127-bus  -0.41257957 -0.59409093   0.83645445     0.07035793  -0.8951280742      -0.60105741    -1.2193214  1.103611e+00
3596-bus  -0.53517524 -0.59409093   0.23773792    -0.54061792  -0.1953646929      -0.60105741    -1.2193214  2.792670e+00
7018-bus  -0.59647307 -0.41285065  -0.22793049    -1.15159377  -1.6550225030      -0.60105741    -0.6723866  5.891878e-01
3986-bus  -0.59647307 -0.68471107  -0.02835831    -1.15159377  -0.3146921084      -0.60105741     0.4214830  2.157384e+00
6612-bus  -0.53517524 -0.77533121  -0.82664701     0.07035793   0.2077937289      -0.60105741    -1.7662562  1.119474e+00
4072-bus   0.32299442 -0.68471107   0.63688227    -1.15159377  -0.2399177488      -0.60105741     0.9684178  2.079579e+00
10193-bus -0.59647307 -0.68471107  -1.15926731    -1.76256962  -1.2792813463      -0.60105741    -1.7662562  1.015230e+00
10173-bus -0.59647307 -0.68471107  -0.95969513    -1.76256962  -1.3462667101      -0.60105741    -1.7662562  1.006165e+00
10164-bus -0.59647307 -0.68471107  -0.82664701    -1.76256962  -1.4668403648      -0.60105741    -0.6723866  1.002388e+00
10331-bus -0.41257957 -0.68471107  -0.22793049    -1.15159377  -1.0250485239      -0.60105741    -0.6723866  1.104366e+00
10315-bus -0.47387740 -0.59409093  -0.56055078    -1.15159377  -1.3771111334      -0.60105741    -0.6723866  1.075661e+00
2900-bus  -0.59647307 -0.68471107  -0.62707484    -1.76256962  -1.5677857502      -0.60105741    -0.6723866  1.006165e+00
10184-bus -0.59647307 -0.68471107  -0.95969513    -1.76256962  -1.4073324370      -0.60105741    -1.7662562  1.009186e+00
10211-bus -0.53517524 -0.68471107  -1.42536354    -1.76256962  -0.9966965793      -0.60105741    -0.6723866  1.026560e+00
10236-bus -0.41257957 -0.68471107  -0.95969513    -1.76256962  -1.3353621160      -0.60105741    -0.6723866  1.041668e+00
10255-bus -0.47387740 -0.68471107  -0.49402672    -1.76256962  -1.1549689736      -0.60105741    -0.6723866  1.049222e+00
10249-bus -0.47387740 -0.68471107  -0.69359890    -1.76256962  -1.2876934618      -0.60105741    -0.6723866  1.041668e+00
3928-bus  -0.59647307 -0.59409093  -0.56055078    -1.76256962  -1.6861784861      -0.60105741    -0.6723866  1.029582e+00
10199-bus -0.59647307 -0.68471107  -0.95969513    -1.76256962  -1.0957726056      -0.60105741    -1.7662562  9.872800e-01
3174-bus  -0.59647307 -0.50347079  -0.09488237    -1.76256962  -0.8194190352       1.37677292    -1.7662562  3.112201e+00
11248-bus  0.69078142 -0.68471107   0.83645445    -1.76256962  -1.3113720089      -0.60105741    -1.2193214  1.139114e+00
4772-bus  -0.59647307 -0.77533121  -1.62493571    -1.15159377  -0.5689249308      -0.60105741    -1.7662562 -1.495868e-01
3910-bus  -0.59647307 -0.59409093  -0.42750266    -1.76256962  -1.6067307291      -0.60105741    -0.6723866  1.027316e+00
3886-bus  -0.59647307 -0.50347079  -0.36097860    -2.37354547  -1.4369306210      -0.60105741    -0.6723866  1.029582e+00
8723-bus  -0.47387740 -0.77533121   1.50169503    -0.54061792  -0.5393267468       0.57327935    -1.7662562  6.231805e-01
3873-bus  -0.59647307 -0.50347079  -0.29445455    -2.37354547  -1.6163890839      -0.60105741    -0.6723866  1.015985e+00
4048-bus   0.50688792 -0.68471107   1.03602662    -1.15159377  -0.1589121927       0.75870094     0.9684178  2.117348e+00
3862-bus  -0.59647307 -0.59409093  -0.22793049    -2.37354547  -1.4029705994      -0.60105741    -0.6723866  1.037891e+00
10628-bus -0.59647307 -0.59409093  -0.69359890    -2.37354547  -1.4269607064      -0.60105741    -0.6723866  9.457334e-01
3877-bus  -0.59647307 -0.59409093  -0.76012296    -2.37354547  -1.6238665198      -0.60105741    -0.6723866  1.051488e+00
6870-bus  -0.59647307  0.94645142  -0.29445455    -1.15159377  -0.7904439709      -0.60105741    -1.2193214  5.891878e-01
5606-bus   2.46841857 -0.14099024   1.56821909    -1.15159377  -1.3172916457      -0.60105741    -1.7662562  1.063575e+00
7-bus      3.02009906  6.47427987   1.16907474    -1.76256962  -0.1159169359      -0.60105741    -1.7662562 -5.516261e-02
5630-bus   0.69078142 -0.68471107   1.90083938    -1.15159377  -0.4087831774      -0.60105741    -1.2193214  1.122495e+00
10388-bus -0.53517524 -0.59409093  -0.42750266    -1.15159377  -1.3886388471      -0.60105741    -0.6723866  1.049222e+00
4249-bus  -0.59647307  0.13087018  -1.29231542    -1.76256962  -1.8291844487      -0.60105741    -1.7662562  1.818213e+00
11438-bus -0.41257957 -0.32223051   0.23773792     0.07035793  -0.1476960387       1.06773693     0.4214830 -2.651619e-01
11352-bus -0.16738824 -0.14099024   0.57035821     0.07035793   0.4305590083      -0.60105741     0.4214830 -2.492987e-01
11618-bus -0.41257957 -0.32223051   0.70340633     0.07035793  -0.2470836250      -0.60105741     0.4214830 -2.674281e-01
11738-bus -0.53517524 -0.32223051   0.50383415     0.07035793  -0.1533041157      -0.60105741     0.9684178 -2.780036e-01
10391-bus -0.47387740 -0.59409093  -0.16140643    -2.37354547  -1.4783680786      -0.60105741    -0.6723866  1.012963e+00
3757-bus  -0.59647307 -0.59409093  -0.69359890    -1.76256962  -1.7335355805      -0.60105741    -1.7662562  1.134582e+00
4258-bus  -0.59647307  0.22149032  -1.02621919    -1.76256962  -1.9369841504      -0.60105741    -1.7662562  1.812169e+00
4069-bus   0.56818575 -0.68471107   0.90297850    -1.15159377  -0.2676465738      -0.60105741     0.9684178  2.089399e+00
3819-bus  -0.59647307 -0.59409093  -0.76012296    -2.37354547  -1.1861249567      -0.60105741    -1.7662562  1.113431e+00
6666-bus  -0.59647307 -0.77533121  -0.82664701    -0.54061792   0.1454817626      -0.60105741    -1.7662562  1.117208e+00
3578-bus  -0.59647307 -0.41285065   0.63688227    -1.15159377  -1.1814515593       1.37677292    -1.2193214  2.804756e+00
3758-bus   0.62948359 -0.41285065   2.16693561    -0.54061792  -1.1490493368      -0.60105741    -0.6723866  2.699001e+00
4060-bus   0.75207925 -0.68471107   1.10255068    -1.15159377  -0.4620599086      -0.10659983     0.9684178  2.107528e+00
3821-bus  -0.59647307 -0.68471107  -0.89317107    -2.37354547  -1.3761764539      -0.60105741    -1.7662562  1.157244e+00
10369-bus -0.47387740 -0.59409093  -0.02835831    -1.76256962  -1.4578051297      -0.60105741    -0.6723866  1.019762e+00
3160-bus  -0.59647307 -0.68471107  -0.02835831    -1.15159377   0.0370589413      -0.60105741    -1.7662562  1.155733e+00
5573-bus   0.50688792 -0.68471107   1.90083938    -1.15159377  -0.2483298643      -0.35382862    -1.2193214  1.120985e+00
3599-bus  -0.28998390 -0.05037010   1.63474315    -0.54061792  -0.6359102945      -0.60105741    -1.7662562  3.015511e+00
3813-bus  -0.59647307 -0.59409093  -0.76012296    -2.37354547  -1.4104480353      -0.60105741    -1.7662562  1.166308e+00
3747-bus  -0.59647307 -0.59409093  -0.42750266    -1.76256962  -1.7702996406      -0.60105741    -1.7662562  1.140625e+00
10394-bus -0.59647307 -0.59409093  -0.42750266    -1.15159377  -1.5976954940      -0.60105741    -1.7662562  1.083215e+00
12143-bus -0.59647307 -0.68471107  -2.02408006    -0.54061792   0.9988441407      -0.60105741    -0.1254518  1.821990e+00
12264-bus -0.59647307 -0.68471107  -1.35883948    -2.37354547  -1.6335248746      -0.60105741    -1.7662562  2.088643e+00
5302-bus  -0.59647307 -0.68471107  -1.82450789    -0.54061792   0.4361670853      -0.60105741    -1.7662562  1.229006e+00
3191-bus  -0.41257957 -0.68471107  -0.62707484    -0.54061792  -0.7907555307      -0.60105741    -1.2193214  1.120985e+00
3827-bus  -0.59647307 -0.59409093  -0.16140643    -1.76256962  -1.5740169468      -0.60105741    -1.7662562  1.071129e+00
12265-bus -0.59647307 -0.68471107  -0.62707484    -2.37354547  -1.3534325862      -0.60105741    -1.7662562  2.102996e+00
3196-bus  -0.59647307 -0.68471107  -1.22579136    -1.15159377  -0.8811078818      -0.60105741    -1.7662562  1.130805e+00
3176-bus  -0.28998390 -0.68471107  -0.36097860     0.07035793  -0.2050230477      -0.60105741    -1.2193214  1.117963e+00
5228-bus  -0.59647307 -0.59409093  -2.02408006    -0.54061792  -0.3673457199      -0.60105741    -1.7662562  1.247135e+00
5417-bus  -0.59647307 -0.68471107   0.03816575    -1.76256962  -0.5492966614      -0.60105741    -1.7662562  1.101344e+00
6557-bus  -0.59647307  0.94645142   0.10468980    -1.15159377  -1.2577837180      -0.60105741    -1.7662562  5.272456e-01
12162-bus -0.59647307 -0.68471107  -2.35670036    -0.54061792   1.0169146110      -0.60105741    -0.1254518  1.840874e+00
3272-bus  -0.59647307 -0.59409093   0.17121386    -1.76256962  -1.0047971349      -0.60105741    -1.7662562  1.132316e+00
3173-bus  -0.59647307 -0.68471107  -0.49402672    -0.54061792  -0.6290559782      -0.60105741    -1.7662562  1.149690e+00
12129-bus -0.59647307 -0.68471107  -0.76012296    -0.54061792   0.9711153157      -0.60105741    -0.1254518  1.803105e+00
5423-bus  -0.59647307 -0.68471107   0.17121386    -1.76256962  -0.8605449329      -0.60105741    -1.7662562  1.092280e+00
3811-bus   0.62948359 -0.68471107   2.56607996    -1.15159377  -0.9474701259      -0.60105741     0.9684178  2.411196e+00
12164-bus -0.59647307 -0.68471107  -2.22365224    -0.54061792   0.9720499952      -0.60105741    -0.6723866  1.851450e+00
3800-bus  -0.59647307 -0.59409093  -0.62707484    -2.37354547  -1.4079555567      -0.60105741    -1.7662562  1.168574e+00
3244-bus  -0.59647307 -0.50347079   0.76993039    -1.76256962   0.6240376636       0.26424336    -1.2193214  1.046201e+00
10888-bus -0.53517524 -0.59409093  -0.95969513    -1.15159377  -1.5095240617      -0.60105741    -1.7662562  1.009942e+00
9944-bus  -0.59647307 -0.77533121  -0.22793049    -0.54061792   0.1915926176      -0.60105741    -1.7662562 -1.896226e-01
3786-bus  -0.59647307 -0.59409093  -0.42750266    -2.37354547  -1.2219543373      -0.60105741    -1.7662562  1.151956e+00
3760-bus  -0.59647307 -0.41285065  -0.29445455    -1.76256962  -2.2388856270      -0.60105741    -1.7662562  1.079438e+00
12195-bus -0.59647307 -0.68471107  -1.89103195    -1.15159377   0.8337174301      -0.60105741    -0.6723866  1.905838e+00
3170-bus  -0.22868607 -0.68471107  -0.29445455     0.07035793  -0.2308825137      -0.60105741    -1.2193214  1.105877e+00
10624-bus -0.59647307 -0.59409093  -0.62707484    -2.37354547  -1.3596637828      -0.60105741    -0.6723866  9.608413e-01
8528-bus   0.44559009 -0.68471107   0.76993039     0.07035793  -0.5648746530      -0.60105741     0.4214830  5.763461e-01
12171-bus -0.59647307 -0.68471107  -1.55841166    -1.15159377  -0.2218472786      -0.60105741    -0.6723866  1.467710e+00
10948-bus -0.59647307 -0.77533121  -0.49402672    -2.37354547  -1.5275945319      -0.60105741    -1.7662562  6.964537e-01
10342-bus -0.59647307 -0.59409093  -0.95969513    -0.54061792   0.1012402665      -0.60105741    -0.1254518  1.858078e-01
10333-bus -0.59647307 -0.59409093  -0.76012296    -0.54061792   0.1289690915      -0.60105741    -0.1254518  1.722108e-01
10330-bus -0.59647307 -0.59409093  -0.76012296    -0.54061792  -0.0339767003      -0.60105741    -0.1254518  1.623906e-01
5498-bus  -0.53517524 -0.77533121  -0.62707484    -1.15159377  -0.0433234952      -0.60105741    -0.6723866  2.281099e-01
3611-bus  -0.35128174  0.22149032   1.03602662    -1.15159377  -1.2961055772      -0.60105741    -1.7662562  3.019288e+00
3189-bus  -0.53517524 -0.59409093   0.23773792    -1.76256962  -0.8673992492       1.37677292    -1.2193214  3.103892e+00
5155-bus  -0.59647307 -0.50347079  -2.09060412    -0.54061792  -0.3402400145      -0.60105741    -1.7662562  1.285660e+00
10612-bus -0.59647307 -0.59409093  -0.69359890    -2.37354547  -1.2434519657      -0.60105741    -0.6723866  9.623521e-01
10267-bus -0.35128174 -0.32223051   0.17121386    -0.54061792  -0.3601798437       1.37677292    -0.1254518  1.299087e-01
5480-bus  -0.22868607 -0.77533121  -0.62707484    -1.15159377  -0.0395847773       1.37677292    -1.2193214  1.194258e+00
3764-bus  -0.59647307 -0.59409093  -0.36097860    -2.37354547  -1.5668510707      -0.60105741    -1.7662562  1.164797e+00
10355-bus -0.59647307 -0.59409093  -1.09274325    -1.15159377   0.0320739840      -0.60105741    -0.1254518  1.865632e-01
10309-bus -0.59647307 -0.59409093  -0.82664701    -0.54061792   0.0632299671      -0.60105741    -0.1254518  1.397288e-01
