"","bus9.sample","cluster.key"
"1","1131-bus",9
"2","23342-bus",9
"3","2423-bus",9
"4","27244-bus",9
"5","2079-bus",9
"6","24996-bus",9
"7","26806-bus",9
"8","27569-bus",9
"9","2086-bus",9
"10","24158-bus",9
"11","27161-bus",9
"12","25131-bus",9
"13","29614-bus",9
"14","23098-bus",9
"15","27238-bus",9
"16","27833-bus",9
"17","2287-bus",9
"18","29062-bus",9
"19","22018-bus",9
"20","27398-bus",9
"21","24358-bus",9
"22","27535-bus",9
"23","22820-bus",9
"24","26093-bus",9
"25","28364-bus",9
"26","22321-bus",9
"27","2227-bus",9
"28","22726-bus",9
"29","24533-bus",9
"30","26485-bus",9
