          OBJECTID OBJECTID_MODE Mode FacilityID FacilityID_Mode        X       Y                    Name Target.break
3059-bus      3059      3059-bus  bus       9877        9877-bus 390894.0 5823909 Location 9877 : 0 - 800          800
7261-bus     0.08515052              6             75 0.1461701             6            33             0   21.579919  0.4435893
7340-bus     0.09980100              6             91 0.0000000             4            31             0   21.492362  0.6365315
7277-bus     0.08035482              6             70 0.2051829             6            35             0   21.452266  0.3859903
6874-bus     0.04204952              7            181 0.0000000             2            24             0   22.227564  1.0778561
          X38_ACCount X39._FTZ X40_Parking X41_PropUrban X42_PropRural X43_EmpAccess X44_C_LOS X45_O_Bus_LOS X46_O_Tram_LOS
3059-bus            0        0           0    0.00000000     0.0000000   0.000000000  1.846154      0.000000              0
10253-bus           0        0           0    0.00000000     0.0000000   0.000689197  8.000000      0.000000              0
10235-bus           0        0           0    0.02435871     0.0000000   0.011845276  6.384615      7.076923              0
10226-bus           0        0           0    0.00000000     0.0000000   0.316993378 15.923077      0.000000              0
10233-bus           0        0           0    0.02457932     0.0000000   0.410237304  7.076923      6.384615              0
11843-bus           0        0           0    0.91672023     0.6533866   0.649050930 16.769231      0.000000              0
10206-bus           0        0           0    0.00000000     0.0000000   2.252906129 13.461538      0.000000              0
10200-bus           0        0           0    0.00000000     0.0000000   4.060235135  7.923077      8.000000              0
6673-bus            0        0           0    1.00000000     0.0000000   6.617052420 15.692308      0.000000              0
6954-bus            0        0           0    1.00000000     0.0000000   7.591257913 23.307692      0.000000              0
6903-bus            0        0           0    1.00000000     0.0000000   7.591257913 23.307692     11.692308              0
7021-bus            0        0           0    0.99663456     0.0000000   7.591257913 23.307692      0.000000              0
7080-bus            0        0           0    0.99645472     0.0000000   7.591257913 23.307692     23.307692              0
7261-bus            0        0           0    0.99640140     0.0000000   7.591257913 15.692308     21.307692              0
7340-bus            0        0           0    0.99759093     0.0000000   7.591257913 21.000000      0.000000              0
7277-bus            0        0           0    0.99632492     0.0000000   7.591257913 21.307692     15.692308              0
6874-bus            0        0           0    0.99996753     0.0000000   7.610565250 55.384615      0.000000              0
          X47_O_Train_LOS X48_O_LOS X49_PropFTE X50_MeanSize X51_MedInc  X52_PropOS X53_PropBach     Factor1     Factor2
3059-bus                0  0.000000   0.4635672     2.709946        150 0.008450634    0.1988270 -2.04068879  0.27046397
10253-bus               0  0.000000   0.5813667     3.268316        300 0.019070247    0.2583958 -1.74227914  0.28826422
10235-bus               0  7.076923   0.5541210     2.757226        500 0.014229384    0.4562670 -0.88248478  0.17675558
10226-bus               0  0.000000   0.5715673     3.284638        300 0.021445728    0.2496902 -1.70277570  0.29051705
10233-bus               0  6.384615   0.5562244     2.765579        500 0.014510359    0.4591010 -0.90356623  0.17325661
11843-bus               0  0.000000   0.5857250     2.717834        800 0.021766796    0.6671931  0.70806401 -0.25714833
10206-bus               0  0.000000   0.5581419     2.779388        500 0.015410697    0.4596248 -1.49415985  0.14760747
10200-bus               0  8.000000   0.5709718     3.284864        300 0.021536611    0.2495486 -1.74616082  0.28713749
6673-bus                0  0.000000   0.6032050     3.422045        300 0.077704505    0.3471372 -1.10205584 -0.47287701
6954-bus                0  0.000000   0.6193131     3.380903        500 0.063121309    0.4783032 -1.45190402 -0.35011558
6903-bus                0 11.692308   0.6225567     3.377338        500 0.057341158    0.4708173 -1.55141320 -0.34982386
7021-bus                0  0.000000   0.6134969     3.324708        500 0.071401987    0.4676769 -0.10591934 -0.27787753
7080-bus                0 23.307692   0.6188564     3.361169        500 0.071573926    0.4653035  0.70548150 -0.09946973
7261-bus                0 21.307692   0.6301486     3.526926        650 0.061005035    0.4149345  0.73578836  0.04689196
7340-bus                0  0.000000   0.6048371     3.449007        500 0.058736587    0.4076570  0.03209114 -0.09852056
7277-bus                0 15.692308   0.6252111     3.459046        650 0.061748204    0.3968911  0.73859700  0.01193923
6874-bus                0  0.000000   0.6181948     3.382872        500 0.061867309    0.4601186 -0.73507113 -0.39845729
             Factor3
3059-bus  -0.8492782
10253-bus -1.0058300
10235-bus -1.0304848
10226-bus -1.0249582
10233-bus -1.0134826
11843-bus  0.6640555
10206-bus -0.6939130
10200-bus -1.0007682
6673-bus   1.1323331
6954-bus   0.9984482
6903-bus   0.9940222
7021-bus   0.2316558
7080-bus  -0.5934531
7261-bus  -1.0491537
7340-bus  -0.3301948
7277-bus  -0.9437359
6874-bus   0.8166293
 [ reached 'max' / getOption("max.print") -- omitted 10612 rows ]
