OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize
452,452-train,train,148-train,318285.972,5815004.97,800,934.6912716,23.1,0.567342068,0.108642296,0.160551327,153,0.580089248,0,0.83126715,0,0,0,3665.872162,0,366643.9315,75.84615385,47.92307692,0,0,75.84615385,500,0.118458147,0.560224846,1.08,0.12,0.189399513,0.585923159,2.557866271
622,622-train,train,208-train,317787.9609,5815048.024,800,1796.641755,72.3,0.30763094,0.066232704,0.145127063,184,0.280468995,0,0.614802227,1,0,0,5273.731233,0,498249.1284,93.46153846,47.92307692,0,0,93.46153846,650,0.061307524,0.634873658,0.659,-0.568,1.849226227,0.633756638,2.39086023
544,544-train,train,54-train,348617.0202,5815488.997,800,3251.966453,49.9,0.229684808,0.062219143,0.177194719,113,0.011984454,1,0.093068928,1,0,0.009649798,1745.625136,0,34009.38714,75.38461538,197.0769231,0,0,75.38461538,500,0.018858059,0.356473148,2,0.0769,-1.557768162,0.603882909,2.486676654
573,573-train,train,190-train,309175.9811,5815435.037,800,7043.636633,14.5,0.28101094,0.182200589,0.167272181,111,0.222183021,1,0.767350347,0,0,0.001098153,1968.846216,0,270798.7708,92.46153846,242.6923077,0,0,92.46153846,150,0.047664936,0.411624435,2.91,0.374,-2.03646359,0.48854298,3.122212553
458,458-train,train,150-train,323490.0252,5815741.051,800,3571.047079,37.7,0.085304753,0.038187524,0.158776219,183,0.31057792,0,1.840002963,0,0,0.004181735,3702.307141,0,448473.7946,218.9230769,67.46153846,0,0,218.9230769,800,0.022321693,0.687154111,2.03,-0.386,-0.03839736,0.608246345,2.537168052
5,5-train,train,189-train,323211.9927,5816339.012,800,577.897829,0.6,0.080089047,0.053866878,0.153886047,201,0.656715777,0,1.649781918,0,0,0.002965165,4566.507833,0,305010.3834,88.53846154,33.30769231,0,0,88.53846154,650,0.030078599,0.691384082,2.02,-0.522,0.667402277,0.610263292,2.408861816
453,453-train,train,146-train,319674.9765,5816486.992,800,1041.553266,1.5,0.077160358,0.090210572,0.145480543,123,0.579169317,0,1.796552217,0,0,0,992.4739546,0,377158.6901,76.30769231,15.23076923,60.69230769,0,137,650,0.049518968,0.68329495,0.809,1.33,-1.972672621,0.599685582,2.285277099
574,574-train,train,104-train,323806.9843,5816639.966,800,957.0734951,11.4,0.039750932,0.050063423,0.134158684,139,0.278413599,0,1.256710877,0,0,0,4523.014163,0,421640.9128,91.38461538,50.38461538,0,0,91.38461538,650,0.030340839,0.658735166,1.07,-0.584,1.052652276,0.594507249,2.598453381
538,538-train,train,53-train,351395.9652,5816725.98,800,2570.392927,186.5,0.086436578,0.028264255,0.121507482,96,0,0,3.010519021,0,0,0.000134393,1997.406541,0,26992.32672,76.23076923,15.53846154,0,0,76.23076923,300,0.015412205,0.273760707,0.145,-0.118,-0.433621324,0.574763891,2.656294876
569,569-train,train,106-train,325359.973,5816834.028,800,1914.505199,18.8,0.06067644,0.074694838,0.08879538,116,0.10424999,0,1.9216428,0,0,0.002461165,4230.166295,0,106237.9812,90.84615385,29.46153846,0,0,90.84615385,650,0.024784039,0.64943603,1.83,-0.414,0.425162979,0.589540463,2.566594362
566,566-train,train,107-train,326622.0068,5816946.959,800,938.3669143,58.4,0.113296435,0.131272144,0.167392161,98,0,0,1.507250993,0,0,0.006507699,2371.757071,0,99514.81805,90.84615385,30.15384615,0,0,90.84615385,650,0.020856806,0.654468705,0.57,0.0374,-0.452292831,0.561413645,2.75058883
616,616-train,train,206-train,316976.0227,5817081.01,800,2057.672921,69,0.08965096,0.043468,0.084553477,130,0,0,0.553057268,1,0,0,4665.870864,0,502055.3717,93.46153846,35.69230769,0,0,93.46153846,500,0.063636152,0.568650046,1.45,-0.631,0.998661093,0.569493779,2.56921063
564,564-train,train,108-train,327250.001,5817341.046,800,517.3046319,8.1,0.076469275,0.082576015,0.147809,71,0,0,0.822187657,1,0,0.000608848,2114.172098,0,114075.909,90.84615385,3.923076923,0,0,90.84615385,650,0.029658799,0.659894111,1.39,0.0152,-0.995607771,0.557233394,2.604141646
565,565-train,train,187-train,323432.9806,5817826.041,800,1440.869436,118.3,0.158225114,0.058687304,0.134932029,147,0,0,0.332657851,1,0,0.001168,4010.466992,0,322304.0398,89.07692308,30.46153846,0,0,89.07692308,650,0.028247615,0.64737101,2,-0.395,0.176748722,0.597580779,2.592447207
561,561-train,train,109-train,327847.984,5818026.971,800,2513.684814,65.3,0.086525684,0.055352814,0.100950267,112,0,0,0.229609955,1,0,0.002214085,2777.798267,0,113265.9834,99.38461538,50.30769231,0,0,99.38461538,650,0.026361871,0.654816903,1.95,-0.147,-0.724659937,0.589115201,2.493400498
459,459-train,train,144-train,320284.0419,5817995.951,800,1251.53846,20.4,0.56233713,0.133217343,0.148309786,186,0.32241754,0,0.237044414,1,0,0.00160227,4283.666745,0,392020.3551,76.15384615,35.15384615,0,0,76.15384615,650,0.031587825,0.669171586,2.25,-0.158,0.258093476,0.627561015,2.287896773
613,613-train,train,205-train,316718.0276,5818140.963,800,2756.94206,201.8,0.254955412,0.114496076,0.126068145,139,0,0,0.311076239,1,0,0.008305811,3741.39031,0,333959.6067,93.46153846,32.76923077,0,0,93.46153846,650,0.026797429,0.589854996,1.36,-0.153,0.237283969,0.618517955,2.492050768
527,527-train,train,174-train,307042.9694,5818829.981,800,2822.178197,22.9,0.017834208,0.019265528,0.070975028,91,0,1,1.824436194,0,0,0.007938911,2805.775615,0,91831.69403,92.69230769,41.30769231,0,0,92.69230769,100,0.059339328,0.302414953,0.114,-0.195,0.075703598,0.48854298,3.231000067
462,462-train,train,143-train,320364.9961,5818717.003,800,1510.804159,5.1,0.326852837,0.113873531,0.126776342,148,0.322776799,0,0.652417683,1,0,0,4990.115917,0,392277.5751,75.30769231,9.076923077,0,0,75.30769231,650,0.031409986,0.64896116,1.81,-0.363,0.999125918,0.591132755,2.415032824
610,610-train,train,204-train,316433.0447,5819210.967,800,5279.535922,#N/A,0.077758011,0.083720452,0.110033141,110,0.116420773,0,1.316491785,0,0,0.010276742,3336.357672,0,327834.7868,93.46153846,225.6153846,31.76923077,0,125.2307692,650,0.027954771,0.58621513,1.97,-0.186,-0.322243156,0.591793785,2.462585875
555,555-train,train,111-train,329165.0422,5819366.994,800,2746.400227,161.5,0.084753526,0.074712906,0.14835218,119,0.319485815,1,0.570057029,1,0,0.002888437,2248.865927,0,126487.4625,159.7692308,34.84615385,0,0,159.7692308,650,0.03891172,0.621860288,1.35,0.108,-0.905927535,0.590688834,2.519719284
465,465-train,train,142-train,320448.9976,5819468.983,800,1280.668008,20.6,0.19411007,0.095359813,0.123113344,106,0.444510362,0,1.243473878,0,0,0.003572297,4094.233625,0.00013783,58140.02783,75.30769231,27.84615385,53.69230769,0,129,500,0.025997589,0.610698313,2.18,-0.242,0.079791297,0.552159569,2.610937045
532,532-train,train,52-train,354447.9792,5820024.974,800,2365.930597,67.2,0.442163445,0.030587049,0.176749423,93,0,1,0.471658362,1,0,0.00884621,618.8554223,0,12010.13073,72.84615385,104.6923077,0,0,72.84615385,300,0.024080673,0.26714177,0.675,0.217,-1.736448352,0.59103894,2.266779076
524,524-train,train,173-train,306170.9594,5820214.034,800,3969.752141,117.6,0.127775392,0.026452458,0.142370827,116,0,1,0.224316368,1,0,0.002595206,2368.489953,0,28364.29337,92.69230769,215.0769231,0,0,92.69230769,150,0.06795265,0.313062627,1.75,-0.0824,-1.012297925,0.48854298,2.955162991
604,604-train,train,202-train,317382.0246,5820611.036,800,1388.47236,22.8,0.045994868,0.059009897,0.143216331,88,0.135806711,0,1.500524376,0,0,0.012145227,2351.063033,0,327654.0709,93,12.46153846,0,0,93,650,0.014240186,0.558723712,0.539,-0.114,-0.430463073,0.582408654,3.026231061
552,552-train,train,112-train,329612.9753,5820951.955,800,1835.603739,50.6,0.038841538,0.093255388,0.10449504,71,0.103916909,1,1.497563928,0,0,0,2493.451384,0,66296.0558,96.84615385,51.30769231,0,0,96.84615385,650,0.030254977,0.569025441,0.788,0.147,-0.474143146,0.583965503,2.491996277
468,468-train,train,141-train,320552.9703,5820819.002,800,2396.890413,280,0.232465499,0.063879693,0.144207224,145,0.331757999,1,0.302990448,1,0,0.001271395,3684.972155,0,62252.60253,75.30769231,109.3846154,0,0,75.30769231,300,0.025809676,0.559267056,2.52,-0.252,-0.362761536,0.566908548,2.624395604
554,554-train,train,183-train,323821.001,5821297.027,800,2960.586493,206.8,0.00106911,0.19510773,0.161077191,114,0.359462007,1,0.330666736,1,0,0.003012437,2943.400395,0,95259.63302,91.30769231,56.15384615,0,0,91.30769231,300,0.05351041,0.542977133,2.47,0.159,-1.017481378,0.545751223,2.644727592
470,470-train,train,140-train,320488.0399,5821796.984,800,1097.863426,10.2,0.341406285,0.102685477,0.164464539,109,0.605591616,0,1.182846508,0,0,0,2600.088014,0,40479.44603,74.84615385,24.07692308,0,0,74.84615385,500,0.024884845,0.54728162,2.1,0.0173,-1.03035834,0.55969458,2.730851341
521,521-train,train,172-train,305573.9933,5821930.038,800,2756.761199,118.9,0.032267319,0.026287036,0.114243667,70,0,0,1.610794824,0,0,0.004954466,2725.820357,0,32607.08155,92.76923077,39.92307692,0,0,92.76923077,150,0.076789192,0.298494009,-0.184,-0.285,0.231771197,0.510343578,3.019981982
601,601-train,train,201-train,317428.0332,5822036.996,800,2162.293562,174.4,0.023025267,0.015314703,0.121739793,109,0.082929286,0,2.20499351,0,0,0.002823969,3125.361053,0,164883.4797,93,40.07692308,0,0,93,500,0.029050867,0.506532464,0.38,-0.404,0.323809069,0.623834766,2.741656725
