OBJECTID,FID_Tram_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
332,768,Location 768,1,874436,0.952119348563989,2,0,0,0.000000000000000,,314675.468400001,5817683.9752,160.000000000000000,768,6299,Location 6299,1,874436,0.101531319781020,1,0,0,0.000000000000000,,314537.011900001,5817698.0125
333,770,Location 770,1,93305,0.721247680091256,1,0,0,0.000000000000000,,319423.486600001,5817703.0224,160.000000000000000,770,6301,Location 6301,1,933993,0.046014723644890,2,0,0,0.000000000000000,,319480.5234,5817702.4971
334,771,Location 771,1,874426,0.211077358861128,1,0,0,0.000000000000000,,313888.037900001,5817718.0103,160.000000000000000,771,6300,Location 6300,1,874426,0.358979726008884,2,0,0,0.000000000000000,,313885.985200001,5817706.9771
335,772,Location 772,1,874430,0.480130408217557,1,0,0,0.000000000000000,,314341.0105,5817725.0147,160.000000000000000,772,6308,Location 6308,1,874429,0.857764097697826,1,0,0,0.000000000000000,,314283.031,5817730.5337
336,775,Location 775,1,804315,0.954068286511469,2,0,0,0.000000000000000,,314116.989,5817746.0518,160.000000000000000,775,6311,Location 6311,1,781427,0.712554607073244,1,0,0,0.000000000000000,,314114.9821,5817752.497
337,776,Location 776,1,874427,0.147924667514953,1,0,0,0.000000000000000,,314062.980100001,5817757.0452,160.000000000000000,776,6311,Location 6311,1,781427,0.712554607073244,1,0,0,0.000000000000000,,314114.9821,5817752.497
338,770,Location 770,1,93305,0.721247680091256,1,0,0,0.000000000000000,,319423.486600001,5817703.0224,160.000000000000000,770,6316,Location 6316,1,891408,0.514349011934679,1,0,0,0.000000000000000,,319321.986900001,5817760.4695
339,774,Location 774,1,19673,0.202220845257113,2,0,0,0.000000000000000,,319212.9871,5817735.4844,160.000000000000000,774,6316,Location 6316,1,891408,0.514349011934679,1,0,0,0.000000000000000,,319321.986900001,5817760.4695
340,780,Location 780,1,679453,0.986563525188931,2,0,0,0.000000000000000,,323760.506100001,5817891.5061,160.000000000000000,780,6335,Location 6335,1,679453,0.662353332582785,2,0,0,0.000000000000000,,323736.0226,5817894.9803
341,784,Location 784,1,20658,0.008070322663695,2,0,0,0.000000000000000,,318840.534100001,5817993.0249,160.000000000000000,784,6356,Location 6356,1,20658,0.275747177883646,2,0,0,0.000000000000000,,318849.8534,5817964.1642
342,783,Location 783,1,402144,0.998542672227837,1,0,0,0.000000000000000,,323088.0003,5817978.5008,160.000000000000000,783,6350,Location 6350,1,876661,0.334186101108463,1,0,0,0.000000000000000,,323213.960300001,5817966.9943
343,783,Location 783,1,402144,0.998542672227837,1,0,0,0.000000000000000,,323088.0003,5817978.5008,160.000000000000000,783,6352,Location 6352,1,402144,0.975104475885509,2,0,0,0.000000000000000,,323084.9841,5817969.0008
344,786,Location 786,1,17559,0.071424608701734,2,0,0,0.000000000000000,,322101.020500001,5818064.0394,160.000000000000000,786,6371,Location 6371,1,90636,0.189544931761553,1,0,0,0.000000000000000,,322195.995500001,5818065.9781
345,786,Location 786,1,17559,0.071424608701734,2,0,0,0.000000000000000,,322101.020500001,5818064.0394,160.000000000000000,786,6372,Location 6372,1,15138,0.332800380269747,2,0,0,0.000000000000000,,322075.985600001,5818076.4904
346,785,Location 785,1,89715,0.461671266924324,1,0,0,0.000000000000000,,317222.9966,5818031.5049,160.000000000000000,785,6379,Location 6379,1,775691,0.799067590559301,1,0,0,0.000000000000000,,317199.331000001,5818076.7813
347,787,Location 787,1,160907,0.993497165369651,1,0,0,0.000000000000000,,320506.498,5818074.0182,160.000000000000000,787,6375,Location 6375,1,89712,0.178862868257366,2,0,0,0.000000000000000,,320455.997600001,5818082.0215
348,789,Location 789,1,420952,0.004907952172811,1,0,0,0.000000000000000,,321428.032000001,5818149.0029,160.000000000000000,789,6397,Location 6397,1,1029809,0.001415924565755,2,0,0,0.000000000000000,,321427.008,5818149.4819
349,790,Location 790,1,18443,0.980052958060037,2,0,0,0.000000000000000,,320526.999100001,5818251.4832,160.000000000000000,790,6427,Location 6427,1,13668,0.697401392689411,2,0,0,0.000000000000000,,320549.970600001,5818244.49
350,791,Location 791,1,17141,0.024193109261813,1,0,0,0.000000000000000,,318884.977,5818288.4811,160.000000000000000,791,6433,Location 6433,1,16041,0.438824732343052,2,0,0,0.000000000000000,,318919.041400001,5818282.5157
351,794,Location 794,1,18436,0.277173595983874,1,0,0,0.000000000000000,,317262.007300002,5818318.9702,160.000000000000000,794,6439,Location 6439,1,160418,0.270777654874928,1,0,0,0.000000000000000,,317156.011499999,5818310.0146
352,796,Location 796,1,888425,0.049338469979663,2,0,0,0.000000000000000,,317285.490600001,5818496.0138,160.000000000000000,796,6477,Location 6477,1,457376,0.089781724709593,1,0,0,0.000000000000000,,317303.5159,5818493.9701
353,799,Location 799,1,155527,0.014125269916009,2,0,0,0.000000000000000,,318921.005200001,5818590.0244,160.000000000000000,799,6501,Location 6501,1,155527,0.066005974789142,2,0,0,0.000000000000000,,318924.995700002,5818588.998
354,800,Location 800,1,17541,0.100545866258407,1,0,0,0.000000000000000,,321476.0321,5818616.0383,160.000000000000000,800,6514,Location 6514,1,186975,0.710131294722725,1,0,0,0.000000000000000,,321458.511699999,5818656.0123
355,802,Location 802,1,191754,0.832673302209111,2,0,0,0.000000000000000,,321544.9961,5818671.0429,160.000000000000000,802,6514,Location 6514,1,186975,0.710131294722725,1,0,0,0.000000000000000,,321458.511699999,5818656.0123
356,804,Location 804,1,19295,0.989731751537170,1,0,0,0.000000000000000,,320585.516700001,5818765.4943,160.000000000000000,804,6532,Location 6532,1,90547,0.868629130862857,2,0,0,0.000000000000000,,320734.989600002,5818747.4845
357,804,Location 804,1,19295,0.989731751537170,1,0,0,0.000000000000000,,320585.516700001,5818765.4943,160.000000000000000,804,6538,Location 6538,1,895497,0.034016109065336,2,0,0,0.000000000000000,,320586.9964,5818766.0245
358,808,Location 808,1,13838,0.978879973437588,2,0,0,0.000000000000000,,318966.508000001,5818973.985,160.000000000000000,808,6555,Location 6555,1,898982,0.841735806125572,1,0,0,0.000000000000000,,318916.013,5818841.0368
359,808,Location 808,1,13838,0.978879973437588,2,0,0,0.000000000000000,,318966.508000001,5818973.985,160.000000000000000,808,6579,Location 6579,1,18878,0.842569342759326,1,0,0,0.000000000000000,,318978.5224,5818970.9739
360,809,Location 809,1,945483,0.081444868600495,2,0,0,0.000000000000000,,323845.5123,5818977.0018,160.000000000000000,809,6580,Location 6580,1,651322,0.253070383273520,2,0,0,0.000000000000000,,323899.484400001,5818975.4885
361,813,Location 813,1,88858,0.502545848104629,2,0,0,0.000000000000000,,323880.9787,5819113.4762,160.000000000000000,813,6580,Location 6580,1,651322,0.253070383273520,2,0,0,0.000000000000000,,323899.484400001,5818975.4885
362,811,Location 811,1,775237,0.876678461734896,1,0,0,0.000000000000000,,323221.0288,5819038.0064,160.000000000000000,811,6600,Location 6600,1,934293,0.500266034730861,2,0,0,0.000000000000000,,323237.4967,5819052.4588
363,812,Location 812,1,770906,0.798656651372047,1,0,0,0.000000000000000,,323254.9608,5819075.0366,160.000000000000000,812,6600,Location 6600,1,934293,0.500266034730861,2,0,0,0.000000000000000,,323237.4967,5819052.4588
364,823,Location 823,1,774934,0.839478404095485,1,0,0,0.000000000000000,,316543.991600001,5819333.0079,160.000000000000000,823,6633,Location 6633,1,775958,0.499151204768807,2,0,0,0.000000000000000,,316585.031600001,5819198.0297
365,823,Location 823,1,774934,0.839478404095485,1,0,0,0.000000000000000,,316543.991600001,5819333.0079,160.000000000000000,823,6640,Location 6640,1,1068248,0.355808352716896,1,0,0,0.000000000000000,,316449.179500001,5819206.3502
366,816,Location 816,1,13971,0.784695630174416,1,0,0,0.000000000000000,,317295.004100001,5819235.5101,160.000000000000000,816,6642,Location 6642,1,895063,0.068498568487925,2,0,0,0.000000000000000,,317309.987900001,5819222.3521
367,817,Location 817,1,91984,0.099263273908954,2,0,0,0.000000000000000,,321596.3442,5819251.9971,160.000000000000000,817,6644,Location 6644,1,18263,0.741006504643363,2,0,0,0.000000000000000,,321631.9705,5819247.4919
368,819,Location 819,1,17778,0.985409742489228,2,0,0,0.000000000000000,,317027.9945,5819271.9949,160.000000000000000,819,6645,Location 6645,1,639186,0.084232370737612,1,0,0,0.000000000000000,,317048.0182,5819258.9516
369,821,Location 821,1,91966,0.078069859643049,1,0,0,0.000000000000000,,321179.022700001,5819302.0118,160.000000000000000,821,6651,Location 6651,1,16392,0.964521225554899,2,0,0,0.000000000000000,,321218.497100001,5819296.5416
370,824,Location 824,1,91966,0.899654768456341,2,0,0,0.000000000000000,,320858.5253,5819338.9575,160.000000000000000,824,6658,Location 6658,1,91966,0.692130829885205,2,0,0,0.000000000000000,,320939.464800002,5819329.4997
371,825,Location 825,1,14003,0.992532678824399,1,0,0,0.000000000000000,,320651.9947,5819364.7448,160.000000000000000,825,6670,Location 6670,1,14003,0.712589498697139,2,0,0,0.000000000000000,,320604.5205,5819374.0105
372,826,Location 826,1,14003,0.041711314977480,1,0,0,0.000000000000000,,320488.5299,5819382.0288,160.000000000000000,826,6670,Location 6670,1,14003,0.712589498697139,2,0,0,0.000000000000000,,320604.5205,5819374.0105
373,826,Location 826,1,14003,0.041711314977480,1,0,0,0.000000000000000,,320488.5299,5819382.0288,160.000000000000000,826,6676,Location 6676,1,15826,0.951952831786923,2,0,0,0.000000000000000,,320393.010800002,5819400.9864
374,832,Location 832,1,774936,0.118042003132954,1,0,0,0.000000000000000,,316386.4863,5819591.5093,160.000000000000000,832,6699,Location 6699,1,781049,0.871003770702454,1,0,0,0.000000000000000,,316252.013300001,5819519.0138
375,831,Location 831,1,16364,0.069638473966971,1,0,0,0.000000000000000,,319032.480800002,5819569.9967,160.000000000000000,831,6717,Location 6717,1,16288,0.609413841503276,1,0,0,0.000000000000000,,318991.0381,5819577.0216
376,835,Location 835,1,89452,0.898042715909891,2,0,0,0.000000000000000,,323946.986400001,5819778.0359,160.000000000000000,835,6757,Location 6757,1,761297,0.722975130969392,1,0,0,0.000000000000000,,324016.0265,5819781.4539
377,836,Location 836,1,15623,0.824114387084127,2,0,0,0.000000000000000,,323982.9592,5819822.9884,160.000000000000000,836,6757,Location 6757,1,761297,0.722975130969392,1,0,0,0.000000000000000,,324016.0265,5819781.4539
378,835,Location 835,1,89452,0.898042715909891,2,0,0,0.000000000000000,,323946.986400001,5819778.0359,160.000000000000000,835,6763,Location 6763,1,795852,0.757478046016288,2,0,0,0.000000000000000,,323831.983100002,5819804.9929
379,836,Location 836,1,15623,0.824114387084127,2,0,0,0.000000000000000,,323982.9592,5819822.9884,160.000000000000000,836,6763,Location 6763,1,795852,0.757478046016288,2,0,0,0.000000000000000,,323831.983100002,5819804.9929
380,837,Location 837,1,384002,0.054676254293906,1,0,0,0.000000000000000,,316251.4798,5819824.9751,160.000000000000000,837,6771,Location 6771,1,384002,0.056194186646014,1,0,0,0.000000000000000,,316253.482200001,5819822.4657
381,839,Location 839,1,798935,0.846466789192987,2,0,0,0.000000000000000,,321742.497300001,5819853.0416,160.000000000000000,839,6767,Location 6767,1,91128,0.695370039284056,2,0,0,0.000000000000000,,321712.026400001,5819832.0097
382,835,Location 835,1,89452,0.898042715909891,2,0,0,0.000000000000000,,323946.986400001,5819778.0359,160.000000000000000,835,6777,Location 6777,1,93546,0.564287367967898,1,0,0,0.000000000000000,,323956.026500001,5819900.0138
383,836,Location 836,1,15623,0.824114387084127,2,0,0,0.000000000000000,,323982.9592,5819822.9884,160.000000000000000,836,6777,Location 6777,1,93546,0.564287367967898,1,0,0,0.000000000000000,,323956.026500001,5819900.0138
384,845,Location 845,1,86871,0.205943018596954,2,0,0,0.000000000000000,,324126.989200001,5820122.4733,160.000000000000000,845,6818,Location 6818,1,421330,0.627666864915992,2,0,0,0.000000000000000,,323989.518800001,5820122.9768
385,843,Location 843,1,16235,0.650320052052824,2,0,0,0.000000000000000,,321766.5052,5820061.4952,160.000000000000000,843,6827,Location 6827,1,88072,0.520336119839263,1,0,0,0.000000000000000,,321728.490200001,5820166.0273
386,844,Location 844,1,384000,0.116270513405261,2,0,0,0.000000000000000,,316112.506100001,5820068.0093,160.000000000000000,844,6830,Location 6830,1,775951,0.969345250926255,1,0,0,0.000000000000000,,316046.528900001,5820180.5002
