OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Tram_facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
29,155,Location 155,1,884159,0.315965560598607,2,0,0,0.000000000000000,,322559.970294476,5812627.00196128,160.000000000000000,155,472,Location 472,1,884160,0.227360149520030,2,0,0,0.000000000000000,,322622.9942,5812649.0111
30,155,Location 155,1,884159,0.315965560598607,2,0,0,0.000000000000000,,322559.970294476,5812627.00196128,160.000000000000000,155,473,Location 473,1,884160,0.738918295155944,1,0,0,0.000000000000000,,322549.9663,5812657.982
31,17,Location 17,1,225968,0.295261152655264,2,0,0,0.000000000000000,,320045.020342541,5813077.03468168,160.000000000000000,17,518,Location 518,1,219121,0.054212529659849,1,0,0,0.000000000000000,,320114.759500002,5813102.0134
32,19,Location 19,1,26334,0.138910472176372,2,0,0,0.000000000000000,,321562.007223105,5813213.0064329,160.000000000000000,19,521,Location 521,1,30616,0.439497952229969,2,0,0,0.000000000000000,,321554.307000002,5813163.3252
33,18,Location 18,1,1071149,0.166965109088974,1,0,0,0.000000000000000,,320651.041491836,5813316.97511975,160.000000000000000,18,522,Location 522,1,458768,0.182389610849624,1,0,0,0.000000000000000,,320582.025900001,5813186.0216
34,18,Location 18,1,1071149,0.166965109088974,1,0,0,0.000000000000000,,320651.041491836,5813316.97511975,160.000000000000000,18,530,Location 530,1,460156,0.055255518336505,1,0,0,0.000000000000000,,320800.013500001,5813263.048
35,18,Location 18,1,1071149,0.166965109088974,1,0,0,0.000000000000000,,320651.041491836,5813316.97511975,160.000000000000000,18,532,Location 532,1,458768,0.918213328732088,2,0,0,0.000000000000000,,320545.342400002,5813263.3415
36,18,Location 18,1,1071149,0.166965109088974,1,0,0,0.000000000000000,,320651.041491836,5813316.97511975,160.000000000000000,18,538,Location 538,1,460156,0.963087472601651,2,0,0,0.000000000000000,,320762.005600001,5813347.3341
37,153,Location 153,1,25703,0.493917944056939,2,0,0,0.000000000000000,,323284.976104541,5813323.03917226,160.000000000000000,153,542,Location 542,1,174184,0.637526228067759,1,0,0,0.000000000000000,,323153.006300001,5813392.0302
38,153,Location 153,1,25703,0.493917944056939,2,0,0,0.000000000000000,,323284.976104541,5813323.03917226,160.000000000000000,153,544,Location 544,1,439252,0.445918905283484,1,0,0,0.000000000000000,,323305.988700001,5813396.5397
39,147,Location 147,1,290617,0.560511458727230,1,0,0,0.000000000000000,,318548.975219095,5815690.99399004,160.000000000000000,147,666,Location 666,1,22759,0.969917271855858,2,0,0,0.000000000000000,,318610.981300001,5815578.0102
40,147,Location 147,1,290617,0.560511458727230,1,0,0,0.000000000000000,,318548.975219095,5815690.99399004,160.000000000000000,147,673,Location 673,1,773822,0.940665280188161,2,0,0,0.000000000000000,,318698.976500001,5815664.9905
41,207,Location 207,1,633053,0.294389096887197,1,0,0,0.000000000000000,,317635.959704393,5815760.96268103,160.000000000000000,207,674,Location 674,1,20721,0.578330900286820,2,0,0,0.000000000000000,,317575.494200001,5815682.5187
42,147,Location 147,1,290617,0.560511458727230,1,0,0,0.000000000000000,,318548.975219095,5815690.99399004,160.000000000000000,147,676,Location 676,1,27577,0.686235799237856,2,0,0,0.000000000000000,,318662.014800001,5815703.0331
43,146,Location 146,1,290623,0.152629155717291,2,0,0,0.000000000000000,,319674.976494505,5816486.99181473,160.000000000000000,146,712,Location 712,1,1068881,0.309157109235576,2,0,0,0.000000000000000,,319585.535600001,5816537.4887
44,142,Location 142,1,1068874,0.544716849107290,2,0,0,0.000000000000000,,320448.997554515,5819468.98262896,160.000000000000000,142,826,Location 826,1,14003,0.041711314977480,1,0,0,0.000000000000000,,320488.5299,5819382.0288
